size,elapsed_time
10,0.000001
35,0.000004
60,0.000014
85,0.000030
110,0.000037
135,0.000048
160,0.000097
185,0.000148
210,0.000106
235,0.000182
260,0.000149
285,0.000172
310,0.000254
335,0.000219
360,0.000425
385,0.000273
410,0.000408
435,0.000377
460,0.000419
485,0.000401
510,0.000530
535,0.000625
560,0.000716
585,0.000742
610,0.000813
635,0.000870
660,0.000941
685,0.001632
710,0.001708
735,0.001032
760,0.001220
785,0.001099
810,0.001272
835,0.001338
860,0.001406
885,0.001422
910,0.001492
935,0.001829
960,0.001529
985,0.001655
1010,0.001732
1035,0.001766
1060,0.001899
1085,0.001933
1110,0.002085
1135,0.002203
1160,0.002304
1185,0.002319
1210,0.002403
1235,0.002598
1260,0.002689
1285,0.002632
1310,0.003213
1335,0.004047
1360,0.003044
1385,0.003208
1410,0.003212
1435,0.003408
1460,0.003771
1485,0.004046
1510,0.004993
1535,0.004323
1560,0.004012
1585,0.004119
1610,0.004413
1635,0.004420
1660,0.004757
1685,0.005220
1710,0.004944
1735,0.004870
1760,0.005140
1785,0.005279
1810,0.005811
1835,0.005455
1860,0.005594
1885,0.006012
1910,0.006390
1935,0.006355
1960,0.006534
1985,0.006709
2010,0.006876
2035,0.006886
2060,0.006825
2085,0.006934
2110,0.007519
2135,0.007574
2160,0.007749
2185,0.007665
2210,0.007917
2235,0.008399
2260,0.008504
2285,0.008764
2310,0.009062
2335,0.008807
2360,0.009002
2385,0.009665
2410,0.009762
2435,0.010216
2460,0.010426
2485,0.010551
2510,0.011707
2535,0.010682
2560,0.010923
2585,0.011157
2610,0.011737
2635,0.011360
2660,0.011384
2685,0.012219
2710,0.012407
2735,0.012656
2760,0.012668
2785,0.012805
2810,0.013558
2835,0.013460
2860,0.013370
2885,0.013779
2910,0.014858
2935,0.014882
2960,0.015367
2985,0.015193
3010,0.015268
3035,0.016461
3060,0.016698
3085,0.016089
3110,0.018040
3135,0.017376
3160,0.017071
3185,0.017447
3210,0.017474
3235,0.017819
3260,0.018398
3285,0.018106
3310,0.018367
3335,0.018407
3360,0.018992
3385,0.019920
3410,0.020522
3435,0.020972
3460,0.024308
3485,0.021784
3510,0.021283
3535,0.021449
3560,0.020997
3585,0.021005
3610,0.022106
3635,0.022558
3660,0.022614
3685,0.022789
3710,0.022936
3735,0.023859
3760,0.024902
3785,0.024638
3810,0.025688
3835,0.024449
3860,0.025579
3885,0.025237
3910,0.026995
3935,0.025468
3960,0.026520
3985,0.026959
4010,0.026005
4035,0.028788
4060,0.029107
4085,0.027963
4110,0.028203
4135,0.028369
4160,0.029137
4185,0.029843
4210,0.029910
4235,0.032035
4260,0.032104
4285,0.030624
4310,0.030826
4335,0.034803
4360,0.037191
4385,0.034060
4410,0.035823
4435,0.032981
4460,0.033417
4485,0.034380
4510,0.034145
4535,0.036322
4560,0.034956
4585,0.036142
4610,0.035122
4635,0.038070
4660,0.038574
4685,0.037115
4710,0.037284
4735,0.038647
4760,0.040351
4785,0.038677
4810,0.039556
4835,0.041990
4860,0.039910
4885,0.041117
4910,0.043156
4935,0.043177
4960,0.042138
4985,0.043972
