size,elapsed_time
10,0.000002
35,0.000009
60,0.000021
85,0.000030
110,0.000057
135,0.000039
160,0.000066
185,0.000176
210,0.000157
235,0.000260
260,0.000333
285,0.000532
310,0.000484
335,0.000594
360,0.000676
385,0.000476
410,0.000561
435,0.000746
460,0.000408
485,0.000539
510,0.000567
535,0.000620
560,0.000660
585,0.000821
610,0.000699
635,0.000778
660,0.000783
685,0.000911
710,0.000835
735,0.000976
760,0.000976
785,0.001107
810,0.001167
835,0.001242
860,0.001321
885,0.001446
910,0.001449
935,0.001490
960,0.001533
985,0.001597
1010,0.001613
1035,0.001669
1060,0.001691
1085,0.001762
1110,0.001785
1135,0.002971
1160,0.003154
1185,0.002256
1210,0.002341
1235,0.002228
1260,0.002717
1285,0.002605
1310,0.002765
1335,0.002690
1360,0.002949
1385,0.002800
1410,0.002888
1435,0.003038
1460,0.003137
1485,0.003233
1510,0.003376
1535,0.003391
1560,0.003699
1585,0.003750
1610,0.003811
1635,0.003844
1660,0.003866
1685,0.004809
1710,0.004417
1735,0.004378
1760,0.004364
1785,0.004562
1810,0.005118
1835,0.004894
1860,0.005109
1885,0.005878
1910,0.006368
1935,0.006672
1960,0.005559
1985,0.005610
2010,0.005827
2035,0.005703
2060,0.006181
2085,0.006077
2110,0.006145
2135,0.006314
2160,0.006380
2185,0.006410
2210,0.006638
2235,0.006846
2260,0.007241
2285,0.007135
2310,0.008043
2335,0.007881
2360,0.007598
2385,0.007743
2410,0.010008
2435,0.008444
2460,0.008675
2485,0.008668
2510,0.008636
2535,0.008908
2560,0.008938
2585,0.009592
2610,0.010256
2635,0.010231
2660,0.009920
2685,0.009920
2710,0.010149
2735,0.010208
2760,0.010234
2785,0.010558
2810,0.011661
2835,0.012067
2860,0.011196
2885,0.011367
2910,0.011638
2935,0.011735
2960,0.011728
2985,0.011651
3010,0.012265
3035,0.012202
3060,0.012790
3085,0.013508
3110,0.013880
3135,0.014984
3160,0.014035
3185,0.014135
3210,0.013564
3235,0.014043
3260,0.014009
3285,0.014214
3310,0.014881
3335,0.014962
3360,0.014775
3385,0.014840
3410,0.015156
3435,0.015437
3460,0.017885
3485,0.019115
3510,0.016364
3535,0.016306
3560,0.016917
3585,0.017085
3610,0.018123
3635,0.017442
3660,0.017801
3685,0.018487
3710,0.018637
3735,0.018810
3760,0.018651
3785,0.021797
3810,0.019636
3835,0.019559
3860,0.019508
3885,0.020291
3910,0.020209
3935,0.020736
3960,0.020380
3985,0.020684
4010,0.021023
4035,0.021690
4060,0.024676
4085,0.022089
4110,0.022274
4135,0.022365
4160,0.022183
4185,0.022333
4210,0.022422
4235,0.022745
4260,0.022826
4285,0.025231
4310,0.024003
4335,0.026432
4360,0.024525
4385,0.024520
4410,0.024425
4435,0.025139
4460,0.026141
4485,0.025936
4510,0.026910
4535,0.026856
4560,0.025786
4585,0.027783
4610,0.030903
4635,0.027120
4660,0.027313
4685,0.028089
4710,0.030321
4735,0.029794
4760,0.028608
4785,0.029328
4810,0.028222
4835,0.029130
4860,0.030867
4885,0.031543
4910,0.031278
4935,0.030538
4960,0.030868
4985,0.030755
