size,elapsed_time
10,0.000002
35,0.000009
60,0.000016
85,0.000024
110,0.000032
135,0.000041
160,0.000050
185,0.000040
210,0.000034
235,0.000038
260,0.000051
285,0.000075
310,0.000120
335,0.000131
360,0.000210
385,0.000150
410,0.000177
435,0.000187
460,0.000206
485,0.000202
510,0.000209
535,0.000226
560,0.000188
585,0.000148
610,0.000491
635,0.000127
660,0.000122
685,0.000652
710,0.000157
735,0.000161
760,0.000187
785,0.000182
810,0.000159
835,0.000245
860,0.000214
885,0.000656
910,0.000213
935,0.000257
960,0.000261
985,0.000291
1010,0.000196
1035,0.000242
1060,0.000333
1085,0.000316
1110,0.000218
1135,0.000286
1160,0.000275
1185,0.000285
1210,0.000406
1235,0.000275
1260,0.000279
1285,0.000376
1310,0.000374
1335,0.000278
1360,0.000281
1385,0.000572
1410,0.000315
1435,0.000295
1460,0.000598
1485,0.000326
1510,0.000318
1535,0.000483
1560,0.000398
1585,0.000514
1610,0.000381
1635,0.000374
1660,0.000562
1685,0.000373
1710,0.000353
1735,0.000474
1760,0.000447
1785,0.000353
1810,0.000402
1835,0.000523
1860,0.000418
1885,0.000449
1910,0.000405
1935,0.000389
1960,0.000469
1985,0.000381
2010,0.000456
2035,0.000525
2060,0.000422
2085,0.000441
2110,0.000491
2135,0.000397
2160,0.000446
2185,0.000518
2210,0.000441
2235,0.000482
2260,0.000508
2285,0.000434
2310,0.000496
2335,0.000491
2360,0.000458
2385,0.000556
2410,0.000497
2435,0.000590
2460,0.000539
2485,0.000494
2510,0.000695
2535,0.000527
2560,0.000642
2585,0.000506
2610,0.000606
2635,0.000542
2660,0.000521
2685,0.000631
2710,0.000510
2735,0.000622
2760,0.000696
2785,0.000606
2810,0.000578
2835,0.000697
2860,0.000767
2885,0.000697
2910,0.000612
2935,0.000785
2960,0.000618
2985,0.000773
3010,0.000576
3035,0.000731
3060,0.000597
3085,0.000718
3110,0.000644
3135,0.000726
3160,0.000620
3185,0.000732
3210,0.000656
3235,0.000745
3260,0.000652
3285,0.000719
3310,0.000657
3335,0.000755
3360,0.000640
3385,0.000870
3410,0.000690
3435,0.000755
3460,0.000652
3485,0.000879
3510,0.000634
3535,0.000757
3560,0.000659
3585,0.000776
3610,0.000720
3635,0.000751
3660,0.000758
3685,0.000730
3710,0.000741
3735,0.000703
3760,0.000789
3785,0.000736
3810,0.000791
3835,0.000715
3860,0.000802
3885,0.000719
3910,0.000860
3935,0.001002
3960,0.000706
3985,0.000972
4010,0.000752
4035,0.000893
4060,0.000848
4085,0.000826
4110,0.000856
4135,0.000931
4160,0.000823
4185,0.000945
4210,0.000910
4235,0.000813
4260,0.001091
4285,0.000974
4310,0.000921
4335,0.000991
4360,0.001006
4385,0.001226
4410,0.001725
4435,0.001547
4460,0.001065
4485,0.000961
4510,0.000963
4535,0.001038
4560,0.001038
4585,0.001030
4610,0.000996
4635,0.001040
4660,0.001103
4685,0.000933
4710,0.001009
4735,0.001076
4760,0.001036
4785,0.000948
4810,0.001028
4835,0.000955
4860,0.000938
4885,0.001014
4910,0.000976
4935,0.000953
4960,0.000952
4985,0.001046
