size,elapsed_time
10,0.000001
35,0.000004
60,0.000006
85,0.000011
110,0.000017
135,0.000019
160,0.000024
185,0.000033
210,0.000032
235,0.000039
260,0.000043
285,0.000051
310,0.000053
335,0.000078
360,0.000100
385,0.000064
410,0.000073
435,0.000074
460,0.000086
485,0.000088
510,0.000112
535,0.000104
560,0.000109
585,0.000149
610,0.000204
635,0.000290
660,0.000134
685,0.000170
710,0.000291
735,0.000233
760,0.000259
785,0.000196
810,0.000209
835,0.000263
860,0.000297
885,0.000274
910,0.000216
935,0.000235
960,0.000364
985,0.000291
1010,0.000239
1035,0.000433
1060,0.000419
1085,0.000338
1110,0.000288
1135,0.000304
1160,0.000405
1185,0.000367
1210,0.000332
1235,0.000343
1260,0.000409
1285,0.000458
1310,0.000417
1335,0.000370
1360,0.000487
1385,0.000469
1410,0.000451
1435,0.000459
1460,0.000507
1485,0.000445
1510,0.000435
1535,0.000504
1560,0.000428
1585,0.000465
1610,0.000881
1635,0.000477
1660,0.000459
1685,0.000519
1710,0.000613
1735,0.000535
1760,0.000530
1785,0.000604
1810,0.000533
1835,0.000617
1860,0.000572
1885,0.000532
1910,0.000697
1935,0.000548
1960,0.000821
1985,0.000614
2010,0.000757
2035,0.000603
2060,0.000752
2085,0.000652
2110,0.000773
2135,0.000675
2160,0.000821
2185,0.000658
2210,0.000850
2235,0.000704
2260,0.000893
2285,0.000734
2310,0.000787
2335,0.000877
2360,0.000878
2385,0.000889
2410,0.000786
2435,0.000992
2460,0.000955
2485,0.000890
2510,0.000983
2535,0.001018
2560,0.000845
2585,0.000982
2610,0.001202
2635,0.001031
2660,0.001330
2685,0.001782
2710,0.001204
2735,0.001087
2760,0.001072
2785,0.001147
2810,0.001069
2835,0.001061
2860,0.001132
2885,0.001125
2910,0.001222
2935,0.001120
2960,0.001203
2985,0.001186
3010,0.001181
3035,0.001186
3060,0.001112
3085,0.001175
3110,0.001329
3135,0.001253
3160,0.001280
3185,0.001279
3210,0.001226
3235,0.001313
3260,0.001341
3285,0.001390
3310,0.001444
3335,0.001444
3360,0.001552
3385,0.001412
3410,0.001471
3435,0.001391
3460,0.001479
3485,0.001424
3510,0.001456
3535,0.001590
3560,0.001667
3585,0.001682
3610,0.001742
3635,0.001617
3660,0.001596
3685,0.001589
3710,0.001805
3735,0.001694
3760,0.001666
3785,0.001597
3810,0.001742
3835,0.001714
3860,0.001738
3885,0.001916
3910,0.001832
3935,0.001769
3960,0.001727
3985,0.001783
4010,0.001948
4035,0.001884
4060,0.001763
4085,0.001855
4110,0.001781
4135,0.001925
4160,0.001866
4185,0.001815
4210,0.001952
4235,0.002036
4260,0.001918
4285,0.001904
4310,0.001959
4335,0.002050
4360,0.002008
4385,0.002048
4410,0.002074
4435,0.002050
4460,0.002212
4485,0.002132
4510,0.002014
4535,0.002169
4560,0.002100
4585,0.002048
4610,0.002369
4635,0.002151
4660,0.002047
4685,0.002174
4710,0.002137
4735,0.002264
4760,0.002175
4785,0.002381
4810,0.002233
4835,0.002486
4860,0.002233
4885,0.002679
4910,0.002729
4935,0.002623
4960,0.002912
4985,0.002820
