size,elapsed_time
10,0.000003
35,0.000005
60,0.000027
85,0.000018
110,0.000024
135,0.000038
160,0.000040
185,0.000059
210,0.000063
235,0.000037
260,0.000075
285,0.000052
310,0.000047
335,0.000054
360,0.000060
385,0.000132
410,0.000179
435,0.000079
460,0.000132
485,0.000085
510,0.000131
535,0.000113
560,0.000166
585,0.000127
610,0.000129
635,0.000157
660,0.000143
685,0.000207
710,0.000162
735,0.000163
760,0.000189
785,0.000289
810,0.000215
835,0.000196
860,0.000224
885,0.000259
910,0.000223
935,0.000265
960,0.000202
985,0.000257
1010,0.000268
1035,0.000319
1060,0.000237
1085,0.000410
1110,0.000273
1135,0.000286
1160,0.000449
1185,0.000373
1210,0.000360
1235,0.000280
1260,0.000559
1285,0.000361
1310,0.000730
1335,0.000408
1360,0.000589
1385,0.000382
1410,0.000452
1435,0.000389
1460,0.000383
1485,0.000384
1510,0.000498
1535,0.000377
1560,0.000469
1585,0.000534
1610,0.000402
1635,0.000423
1660,0.000573
1685,0.000440
1710,0.000520
1735,0.000505
1760,0.000471
1785,0.000496
1810,0.000554
1835,0.000502
1860,0.000574
1885,0.000506
1910,0.000594
1935,0.000561
1960,0.000580
1985,0.000623
2010,0.000556
2035,0.000695
2060,0.000565
2085,0.000767
2110,0.000608
2135,0.000783
2160,0.000637
2185,0.000770
2210,0.000647
2235,0.000782
2260,0.000661
2285,0.000740
2310,0.000712
2335,0.000780
2360,0.000753
2385,0.000787
2410,0.000735
2435,0.000798
2460,0.000766
2485,0.000840
2510,0.000828
2535,0.000827
2560,0.001063
2585,0.000872
2610,0.000937
2635,0.001009
2660,0.000873
2685,0.000987
2710,0.001008
2735,0.000925
2760,0.001006
2785,0.000994
2810,0.001075
2835,0.001043
2860,0.001091
2885,0.001021
2910,0.001055
2935,0.001146
2960,0.001064
2985,0.001040
3010,0.001082
3035,0.001168
3060,0.001235
3085,0.001072
3110,0.001142
3135,0.001250
3160,0.001300
3185,0.001217
3210,0.001160
3235,0.001216
3260,0.001282
3285,0.001309
3310,0.001329
3335,0.001331
3360,0.001335
3385,0.001419
3410,0.001333
3435,0.001530
3460,0.001385
3485,0.001350
3510,0.001326
3535,0.001404
3560,0.001427
3585,0.001458
3610,0.001389
3635,0.001541
3660,0.001523
3685,0.001486
3710,0.001531
3735,0.001619
3760,0.001604
3785,0.001657
3810,0.001616
3835,0.001716
3860,0.001647
3885,0.001655
3910,0.001680
3935,0.001613
3960,0.001708
3985,0.001665
4010,0.001698
4035,0.001723
4060,0.001793
4085,0.001720
4110,0.001773
4135,0.001712
4160,0.001744
4185,0.001778
4210,0.001747
4235,0.001825
4260,0.001869
4285,0.001880
4310,0.001802
4335,0.001833
4360,0.001980
4385,0.002107
4410,0.001895
4435,0.001898
4460,0.001950
4485,0.001939
4510,0.002006
4535,0.002087
4560,0.002073
4585,0.002090
4610,0.002452
4635,0.002276
4660,0.002379
4685,0.002176
4710,0.002352
4735,0.002351
4760,0.002338
4785,0.002197
4810,0.002373
4835,0.002268
4860,0.002359
4885,0.002154
4910,0.002340
4935,0.002284
4960,0.002272
4985,0.002402
