size,elapsed_time
10,0.000002
35,0.000007
60,0.000017
85,0.000023
110,0.000035
135,0.000049
160,0.000055
185,0.000069
210,0.000099
235,0.000201
260,0.000142
285,0.000169
310,0.000307
335,0.000447
360,0.000223
385,0.000232
410,0.000225
435,0.000347
460,0.000412
485,0.000181
510,0.000231
535,0.000216
560,0.000334
585,0.000332
610,0.000273
635,0.000282
660,0.000528
685,0.000294
710,0.000460
735,0.000412
760,0.000303
785,0.000365
810,0.000332
835,0.000520
860,0.000496
885,0.000513
910,0.000827
935,0.000621
960,0.000565
985,0.000583
1010,0.000452
1035,0.000530
1060,0.000468
1085,0.000624
1110,0.000580
1135,0.000570
1160,0.000664
1185,0.000616
1210,0.000814
1235,0.000629
1260,0.000778
1285,0.000613
1310,0.000867
1335,0.000755
1360,0.001081
1385,0.000952
1410,0.000800
1435,0.000955
1460,0.000808
1485,0.000869
1510,0.000825
1535,0.000961
1560,0.000923
1585,0.000834
1610,0.000892
1635,0.001031
1660,0.000914
1685,0.001147
1710,0.001040
1735,0.001071
1760,0.001154
1785,0.001110
1810,0.001076
1835,0.001272
1860,0.001118
1885,0.001300
1910,0.001279
1935,0.001388
1960,0.001276
1985,0.001248
2010,0.001411
2035,0.001631
2060,0.001178
2085,0.001297
2110,0.001546
2135,0.001185
2160,0.001370
2185,0.001386
2210,0.001563
2235,0.001528
2260,0.001523
2285,0.001538
2310,0.001801
2335,0.001934
2360,0.002345
2385,0.001861
2410,0.001953
2435,0.001865
2460,0.001843
2485,0.002212
2510,0.002044
2535,0.002356
2560,0.001879
2585,0.002138
2610,0.002112
2635,0.001966
2660,0.002566
2685,0.002096
2710,0.002274
2735,0.002222
2760,0.002210
2785,0.002066
2810,0.002434
2835,0.002682
2860,0.002259
2885,0.002648
2910,0.002211
2935,0.002711
2960,0.002599
2985,0.002641
3010,0.002210
3035,0.002427
3060,0.003597
3085,0.003185
3110,0.002677
3135,0.002751
3160,0.003118
3185,0.003081
3210,0.003377
3235,0.002514
3260,0.002894
3285,0.002550
3310,0.003151
3335,0.003174
3360,0.003217
3385,0.002942
3410,0.003358
3435,0.002976
3460,0.003228
3485,0.003453
3510,0.002874
3535,0.003497
3560,0.003156
3585,0.003365
3610,0.003660
3635,0.004096
3660,0.002848
3685,0.003545
3710,0.004012
3735,0.003983
3760,0.003589
3785,0.003826
3810,0.003923
3835,0.002941
3860,0.003554
3885,0.004686
3910,0.003841
3935,0.004415
3960,0.004227
3985,0.004222
4010,0.003205
4035,0.003513
4060,0.004205
4085,0.003720
4110,0.005031
4135,0.003899
4160,0.005304
4185,0.003850
4210,0.004129
4235,0.004188
4260,0.004514
4285,0.004260
4310,0.004265
4335,0.004747
4360,0.005374
4385,0.005399
4410,0.005492
4435,0.005286
4460,0.004287
4485,0.005181
4510,0.006157
4535,0.005297
4560,0.005156
4585,0.005360
4610,0.004386
4635,0.004964
4660,0.006499
4685,0.005519
4710,0.004993
4735,0.006102
4760,0.004335
4785,0.005156
4810,0.006093
4835,0.006627
4860,0.005338
4885,0.006187
4910,0.004636
4935,0.006949
4960,0.006100
4985,0.006930
